0000 graphic
84b8 ayw_Bank
825c skip2
825a skip3
827f skip1
829e ProcSound
833a ProcPattern
82a0 loop1
82e5 skip1
84ce OrnamentID
82be loop2
84d1 OrnamentIndex
82dc skip2
82d1 skip6
84eb PitchTableLo
856b PitchTableHi
8327 skip3
830e loop3
831e vector1
84b8 ayw_PitchLo
84bb ayw_PitchHi
8339 skip4
8345 skip4
8385 skip3
835b loop1
8365 skip2
8367 loop2
83b8 PatternRangeThreshhold
8370 skip1
83c4 PatternRangeCommandLo
8380 vector1
84de PatternRangeCommandHi
83b7 AvoidList
8396 skip1
8396 ProcList2
84dd prcSample
83d1 prcCycle
83de prcNote
840b prcRest
8434 prcVolume
843f prcEffect
845e prcOrnament
847d prcCommand
8497 prcLongRowRest
84a1 prcShortRowRest
84c8 CycleCode
84c5 ayw_Cycle
8415 NoteDisableEffect
842a NoteDisableOrnament
8429 skip1
84d4 RealVolume
8488 skip1
84a6 CommandVectorLo
8494 vector1
84ad CommandVectorHi
84b4 prcCom_TriggerOut
84dd prcCom_Pitchbend
84dd prcCom_SlideUp
84dd prcCom_SlideDown
84dd prcCom_SampleType
84dd prcCom_CopyLeftSibling
84cb OrnamentMask
85eb EndOfPlayer
9d77 CheatCode5
9e20 JoystickTemp
9dae RestoreDDRA
9e05 ManipulateBits
9de7 ReadTelestrat
9e21 GenericBitManip
9e0e CheatCode4
9e43 loop1
9e6a LevelID_SafePosition
9e66 skip3
9e55 skip2
9e98 MapX_SafePosition
9e59 skip1
9ec5 HeroX_SafePosition
9ef2 HeroY_SafePosition
9e66 loop2
9f3e skip1
9f2e rent1
9f48 TimeLimit
9f7f loop1
9f8c Himem
9f8d TopOfMemory
a000 HiresScreen
b770 ScorePanelArea
b770 ScorePanel
bd88 end_adress
